Family,NtDuplicateObject,NtOpenSection,NtQueryKey,LdrUnloadDll,GetSystemInfo,IsDebuggerPresent,LookUpPrivilegeValueW,NtQueryValueKey,NtOpenDirectoryObject,NtMapViewOfSection,NtDelayExecution,NtDeviceIoControlFile,NtAllocateVirtualMemory,NtWriteFile,LdrGetDllHandle,NtQuerySystemInformation,CreateThread,NtCreateMutant,NtProtectVirtualMemory,NtOpenKey,GetFileType,NtOpenKeyEx,LdrLoadDll,NtTerminateProcess,UuidCreate,NtClose,DeviceIoControl,GetFileAttributesEXW,GetFileAttributesW,NtFreeVirtualMemory,NtOpenFile,SetUnhandledExceptionFilter,NtCreateFile,NtQueryAttributesFile,NtCreateSection,CreateToolHelp32Snapshot,RegCloseKey,NtReadFile,Process32FirstW,GetFileSizeEx,GetTempPathW,GetSystemTimeAsFileTime,findFirstFileExW,RegSetValueExW,NtOpenMutant,OpenSCManagerW,SetFilePointerEX,SetEndOfFile,NtCreateUserProcess,NtQueryInformationFile,SetFilePointer,NtUnmapViewOfSection,RegOpenKeyExW,NtOpenThread,RegQueryValueExW,GetComputerNameW,NtSetInformationFile,DeleteFileW,SetFileAttributesW,NtReadVirtualMemory,WSAStartup,Process32NextW,NtWriteVirtualMemory,NtResumeThread,RegCreateKeyExW,GetNativeSystemInfo,CoUninitialize,NtSetValueKey,NtCreateKey,NtOpenProcess,GetForegroundWindow,GetSystemMetrics,RegEnumKeyW,GetFileSize,GetVolumePathNamesForVolumeNameW,SetErrorMode,CreateDirectoryW,NtEnumerateValueKey,CoCreateInstance,NtQueryDirectoryFile,GetVolumeNameForVolumeMountPointW,CoInitializeEx,CoInitializeSecurity,NtEnumerateKey,NtDeleteValueKey,GetFileInformationByHandle,GetFileVersionInfoSizeW,CryptExportKey,GetFileVersionInfoExW,CryptCreateHash,CryptAcquireContextA,RegEnumKeyExW,CryptAcquireContextW,CryptDecodeObjectEx,RegEnumValueW,CryptHashData,GetFileVersionInfoSizeExW,RegQueryInfoKeyW,GetFileVersionInfoW,CryptGenKey,NtQueryMultipleValueKey,RegDeleteValueW,SetFileInformationByHandle,RegDeleteKeyW,CopyFileExW,CopyFileW,RegDeleteKeyA,RegQueryValueExA,RegCreateKeyExA,SetFileTime,RegOpenKeyExA,GetKeyState,RegSetValueExA,RegEnumKeyExA,RegDeleteValueA,OpenSCManagerA,NtDeleteKey,RegEnumValueA,GetKeyboardState,CryptDecrypt,CopyFileA,CryptEncrypt,CryptProtectData,URLDownloadToFileW,InternetReadFile,NtLoadKeyEx,RegQueryInfoKeyA,GetAsyncKeyState,NtLoadKey,CryptUnprotectData
Samsam,1,16,6,28,6,1,0,69,0,26,21,1,56,0,339,4,2,5,158,37,6,58,41,6,6,279,1,0,2,37,31,0,18,13,20,0,21,1,0,1,1,0,3,0,3,0,0,0,1,0,0,4,28,0,17,0,0,0,0,0,0,0,2,1,0,1,3,0,0,1,0,186,0,4,0,2,0,135,5,0,0,3,1,5,0,0,1,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Samsam,1,16,6,28,6,1,0,69,0,26,19,1,57,0,339,4,2,5,158,37,6,58,41,6,6,279,1,0,2,42,31,0,18,13,20,0,21,1,0,1,1,0,3,0,3,0,0,0,1,0,0,4,28,0,17,0,0,0,0,0,0,0,2,1,0,1,3,0,0,1,0,186,0,4,0,2,0,135,5,0,0,3,1,5,0,0,1,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Samsam,1,16,6,28,6,1,0,66,0,24,12,1,56,0,339,4,2,5,158,37,0,53,41,6,6,268,1,0,2,37,30,0,17,12,18,0,21,1,0,1,1,0,3,0,3,0,0,0,1,0,0,2,28,0,17,0,0,0,0,0,0,0,2,1,0,1,2,0,0,1,0,186,0,4,0,2,0,135,2,0,0,3,1,5,0,0,1,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Ryuk,6,8,6,16,4,2,0,105,0,95,2462,0,7899,5,164,1,4,2,65,46,2,88,44,3,1,20553,2,0,7,331,19,2,24,2,84,3,22,822,2,0,2,3863,20371,3,0,0,0,0,1,2,3,87,25,0,25,1,10,0,2,0,1,194,6,5,3,0,2,0,0,0,2,0,16,1,6,1,2,30,1,0,3,2,1,2,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryuk,6,8,6,16,4,2,0,105,0,96,2063,0,8292,6,164,1,4,2,65,46,2,88,44,3,1,21185,3,0,7,340,19,2,25,2,85,3,22,10078,2,1,2,3394,21005,3,0,0,3,0,1,2,3,88,25,0,25,1,13,0,2,0,1,196,6,5,3,0,2,0,0,0,2,0,16,0,6,1,2,30,1,0,3,2,1,2,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryuk,2,2,0,3,0,0,0,15,0,3,4,0,46,404540,369,3,5,1,58,27,8,18,33,3,0,158,0,0,39,9,36,4,15,1,1,0,0,202289,0,0,45,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryuk,2,2,0,3,0,0,0,15,0,3,4,0,44,404540,369,3,5,1,58,27,8,18,33,3,0,158,0,0,39,6,36,4,15,1,1,0,0,202289,0,0,45,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryuk,171,5,8,12,2,13,0,89,0,6,306,1,34,2,80,5,0,7,80,13,0,62,21,3,1,320,2,0,7,14,22,0,206,49,6,1,2,0,1,0,0,9,0,0,0,0,0,0,0,2,0,0,6,0,4,3,0,1,0,0,0,99,0,0,0,1,1,0,0,1,0,0,0,0,6,1,1,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cerber,11,6,63,9,2,0,0,3110,0,21,0,1,20074,10028,102,1,0,9,91,62,0,851,22,3,0,10884,3,1,55,10030,20,1,10076,3,10,0,0,10161,0,15,3,55,45,0,0,0,0,0,1,10043,16,4,0,0,0,0,10000,1,0,28,0,0,30,1,0,1,24,0,0,11,0,0,0,4,6,1,17,0,6,27,4,23,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0
cerber,33,17,130,12,3,1,0,3140,9,57,0,1,45,0,17,1,2,12,122,58,0,922,16,6,1,974,3,3,14,2,17,0,56,5,18,0,0,14,0,14,1,49,5,0,1,2,0,0,1,63,0,0,0,0,0,1,1,2,0,28,0,0,30,2,0,0,25,0,3,35,0,0,0,2,8,0,1,3,24,35,5,26,1,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cerber,33,17,130,12,3,3,0,3140,9,57,0,1,37,0,19,1,2,12,124,58,0,920,14,6,1,944,3,3,14,13,17,0,57,5,18,0,0,14,0,14,1,49,5,0,1,2,0,0,1,63,0,0,0,0,0,1,1,2,0,28,0,0,30,2,0,0,25,0,3,35,0,0,0,2,8,0,1,3,24,35,5,26,1,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cerber,33,17,130,12,3,3,0,3140,9,57,0,1,43,0,19,1,2,12,6,58,0,920,14,6,1,942,3,3,14,13,17,0,57,5,18,0,0,14,0,14,1,49,5,0,1,2,0,0,1,63,0,0,0,0,0,1,1,2,0,28,0,0,30,2,0,0,25,0,3,35,0,0,0,2,8,0,1,3,24,35,5,26,1,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cerber,15,17,304,17,9,0,0,692,4,5768,5,45,185,0,307,5,5,10,186,54,0,1067,35,6,1,14864,128,0,35,38,14,2,5975,9,5755,0,25,4,0,2,17234,600,2335,0,0,0,0,0,1,213,1,1,1,3,0,0,0,5745,0,2,1,0,4,1,1,2,0,8,11,0,0,21,0,2,6,0,7,149,5,210,46,1,0,88,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cerber,6,1,2,14,2,1,0,23,0,108,3012,0,10318,6,48,0,4,0,24,13,2,26,30,0,1,18624,2,0,1,309,9,1,24,2,104,2,22,31614,2,0,1,4101,18529,3,0,0,0,0,0,2,3,106,25,0,25,1,13,0,2,0,1,210,0,4,3,0,2,0,0,0,2,0,16,1,6,1,2,0,1,0,3,2,1,2,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cerber,5,3,2,27,1,0,0,154,2,9,16,87,14,0,24,0,1,4,72,17,0,164,25,1,0,352,0,0,2,2,6,0,35,9,6,0,0,0,0,0,1,1337,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,2,0,2,1,0,0,0,12,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,18,0,0,0,0,0,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megacortex,40,21,70,103,5,15,1,3755,4,63,12,103,123,1233,114,2,0,12,257,124,0,1388,95,6,1,2202,9,2,196,92,37,2,172,21,36,1,99,1733,1,16,2,176,10,12,7,0,0,0,1,58,78,5,89,2,89,5,0,5,4,26,19,40,114,1,4,6,33,3,76,28,0,0,0,2,12,1,58,4,11,27,7,32,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,21,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megacortex,40,21,71,103,5,15,1,3755,4,63,12,106,142,1235,114,2,0,12,257,124,0,1388,95,6,1,2202,9,2,196,120,37,2,172,21,36,1,99,1734,1,16,2,176,10,12,7,0,0,0,1,58,81,5,89,2,89,5,0,5,4,26,19,40,28,1,4,6,33,3,76,28,0,0,0,2,12,1,58,4,11,27,7,32,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,21,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megacortex,40,19,71,70,8,9,3,3712,4,66,11,76,97,796,83,4,0,11,264,142,0,1359,80,12,1,2171,9,2,151,63,42,1,130,25,39,2,92,959,2,17,4,151,12,8,6,0,0,0,3,66,47,8,82,2,78,3,0,7,5,26,13,138,32,3,4,5,34,3,56,125,0,0,0,2,12,1,58,4,10,27,7,32,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,4,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
